symbol,universe_type,model_layer,exposure_type,feature_grain,fund_name,issuer_name,interpretation
BITW,market_state_etf,layer_01_market_regime,crypto_beta,1m,Bitwise 10 Crypto Index ETF,Bitwise Asset Management,Broad crypto basket ETF used to observe aggregate crypto beta.
XLB,sector_observation_etf,layer_02_sector_context,sp500_sector,1m,Materials Select Sector SPDR Fund,State Street / SPDR,Materials sector ETF used to observe materials leadership.
XLC,sector_observation_etf,layer_02_sector_context,sp500_sector,1m,Communication Services Select Sector SPDR Fund,State Street / SPDR,Communication services sector ETF used to observe communication/platform leadership.
XLE,sector_observation_etf,layer_02_sector_context,sp500_sector,1m,Energy Select Sector SPDR Fund,State Street / SPDR,Energy sector ETF used to observe energy and inflation sensitivity.
XLF,sector_observation_etf,layer_02_sector_context,sp500_sector,1m,Financial Select Sector SPDR Fund,State Street / SPDR,Financials sector ETF used to observe rates and credit sensitivity.
XLI,sector_observation_etf,layer_02_sector_context,sp500_sector,1m,Industrial Select Sector SPDR Fund,State Street / SPDR,Industrials sector ETF used to observe industrial cyclicality.
XLK,sector_observation_etf,layer_02_sector_context,sp500_sector,1m,Technology Select Sector SPDR Fund,State Street / SPDR,Technology sector ETF used to observe technology and growth leadership.
XLP,sector_observation_etf,layer_02_sector_context,sp500_sector,1m,Consumer Staples Select Sector SPDR Fund,State Street / SPDR,Consumer staples sector ETF used to observe defensive consumer exposure.
XLRE,sector_observation_etf,layer_02_sector_context,sp500_sector,1m,Real Estate Select Sector SPDR Fund,State Street / SPDR,Real estate sector ETF used to observe rate-sensitive real estate exposure.
XLU,sector_observation_etf,layer_02_sector_context,sp500_sector,1m,Utilities Select Sector SPDR Fund,State Street / SPDR,Utilities sector ETF used to observe defensive and rate-sensitive utility exposure.
XLV,sector_observation_etf,layer_02_sector_context,sp500_sector,1m,Health Care Select Sector SPDR Fund,State Street / SPDR,Health care sector ETF used to observe defensive health care exposure.
XLY,sector_observation_etf,layer_02_sector_context,sp500_sector,1m,Consumer Discretionary Select Sector SPDR Fund,State Street / SPDR,Consumer discretionary sector ETF used to observe cyclical consumer risk appetite.
CPER,market_state_etf,layer_01_market_regime,commodities,1m,United States Copper Index Fund,USCF Investments,Copper fund used to observe industrial metal and cyclical commodity impulse.
DBA,market_state_etf,layer_01_market_regime,commodities,1m,Invesco DB Agriculture Fund,Invesco,Agriculture commodity fund used to observe agriculture price pressure.
DBC,market_state_etf,layer_01_market_regime,commodities,1m,Invesco DB Commodity Index Tracking Fund,Invesco,Broad commodity basket ETF used to observe aggregate commodity pressure.
DIA,market_state_etf,layer_01_market_regime,us_equity_core,1m,SPDR Dow Jones Industrial Average ETF Trust,State Street / SPDR,Dow Jones Industrial Average ETF used to observe old-economy/value blue-chip beta.
GLD,market_state_etf,layer_01_market_regime,commodities,1m,SPDR Gold Shares,World Gold Trust Services / SPDR,Gold ETF used to observe gold safe-haven and real-rate sensitivity.
HYG,market_state_etf,layer_01_market_regime,credit,1m,iShares iBoxx $ High Yield Corporate Bond ETF,BlackRock / iShares,High-yield corporate bond ETF used to observe credit risk appetite.
IEF,market_state_etf,layer_01_market_regime,rates_curve,1m,iShares 7-10 Year Treasury Bond ETF,BlackRock / iShares,Intermediate Treasury bond ETF used to observe 7-10 year duration exposure.
IWM,market_state_etf,layer_01_market_regime,us_equity_core,1m,iShares Russell 2000 ETF,BlackRock / iShares,Russell 2000 ETF used to observe small-cap risk appetite.
LQD,market_state_etf,layer_01_market_regime,credit,1m,iShares iBoxx $ Investment Grade Corporate Bond ETF,BlackRock / iShares,Investment-grade corporate bond ETF used to observe high-quality credit exposure.
QQQ,market_state_etf,layer_01_market_regime,us_equity_core,1m,"Invesco QQQ Trust, Series 1",Invesco,Nasdaq-100 ETF used to observe mega-cap growth leadership.
RSP,market_state_etf,layer_01_market_regime,us_equity_core,1m,Invesco S&P 500 Equal Weight ETF,Invesco,Equal-weight S&P 500 ETF used to observe breadth versus cap-weight concentration.
SHY,market_state_etf,layer_01_market_regime,rates_curve,1m,iShares 1-3 Year Treasury Bond ETF,BlackRock / iShares,Short Treasury bond ETF used to observe 1-3 year duration/cash-like Treasury exposure.
SLV,market_state_etf,layer_01_market_regime,commodities,1m,iShares Silver Trust,BlackRock / iShares,Silver ETF used to observe high-beta precious-metal exposure.
SPY,market_state_etf,layer_01_market_regime,us_equity_core,1m,SPDR S&P 500 ETF Trust,State Street / SPDR,S&P 500 ETF used as the broad US equity market benchmark.
TLT,market_state_etf,layer_01_market_regime,rates_curve,1m,iShares 20+ Year Treasury Bond ETF,BlackRock / iShares,Long Treasury bond ETF used to observe 20+ year duration and safe-haven demand.
USO,market_state_etf,layer_01_market_regime,commodities,1m,"United States Oil Fund, LP",USCF Investments,Oil fund used to observe crude-oil commodity pressure.
UUP,market_state_etf,layer_01_market_regime,usd_volatility,1m,Invesco DB US Dollar Index Bullish Fund,Invesco,US dollar index fund used to observe broad dollar strength.
VIXY,market_state_etf,layer_01_market_regime,usd_volatility,1m,ProShares VIX Short-Term Futures ETF,ProShares,Short-term VIX futures ETF used to observe volatility stress.
