symbol,universe_type,exposure_type,bar_grain,fund_name,issuer_name,interpretation
AIQ,sector_observation_etf,thematic_growth,1d,Global X Artificial Intelligence & Technology ETF,Global X,Artificial intelligence and technology thematic equity ETF.
ARKF,sector_observation_etf,thematic_growth,1d,ARK Blockchain & Fintech Innovation ETF,ARK Invest,Fintech and blockchain innovation thematic equity ETF.
ARKG,sector_observation_etf,thematic_growth,1d,ARK Genomic Revolution ETF,ARK Invest,Genomics and biotech innovation thematic equity ETF.
ARKW,sector_observation_etf,thematic_growth,1d,ARK Next Generation Internet ETF,ARK Invest,Next-generation internet and platform growth thematic equity ETF.
ARKX,sector_observation_etf,thematic_growth,1d,ARK Space & Defense Innovation ETF,ARK Invest,"Space, aerospace, and defense innovation thematic equity ETF."
BITW,sector_observation_etf,crypto_beta,30m,Bitwise 10 Crypto Index ETF,Bitwise Asset Management,Diversified crypto asset basket proxy for broad crypto beta.
BKCH,sector_observation_etf,crypto_beta,30m,Global X Blockchain ETF,Global X,Blockchain and crypto-related equity ETF proxy.
BOTZ,sector_observation_etf,industry_chain,1d,Global X Robotics & Artificial Intelligence ETF,Global X,Robotics and artificial intelligence thematic equity ETF.
CIBR,sector_observation_etf,industry_chain,1d,First Trust Nasdaq Cybersecurity ETF,First Trust,Cybersecurity industry equity ETF.
EWT,sector_observation_etf,industry_chain,1d,iShares MSCI Taiwan ETF,BlackRock / iShares,Taiwan equity ETF used to observe Taiwan semiconductor/export beta.
EWY,sector_observation_etf,industry_chain,1d,iShares MSCI South Korea ETF,BlackRock / iShares,South Korea equity ETF used to observe Korea technology/export beta.
EWZ,sector_observation_etf,industry_chain,1d,iShares MSCI Brazil ETF,BlackRock / iShares,Brazil equity ETF used to observe Brazil commodity/EM beta.
FDN,sector_observation_etf,thematic_growth,1d,First Trust Dow Jones Internet Index Fund,First Trust,Internet equity ETF used to observe internet platform growth beta.
IGV,sector_observation_etf,industry_chain,1d,iShares Expanded Tech-Software Sector ETF,BlackRock / iShares,Software sector ETF used to observe software leadership.
IYT,sector_observation_etf,industry_chain,1d,iShares U.S. Transportation ETF,BlackRock / iShares,US transportation ETF used to observe transport and logistics cyclicality.
IYW,sector_observation_etf,industry_chain,1d,iShares U.S. Technology ETF,BlackRock / iShares,US technology ETF used to observe broad technology leadership.
JETS,sector_observation_etf,industry_chain,1d,U.S. Global Jets ETF,U.S. Global Investors,Airlines ETF used to observe travel and airline cyclicality.
KBE,sector_observation_etf,industry_chain,1d,SPDR S&P Bank ETF,State Street / SPDR,Bank ETF used to observe broad bank stress or leadership.
KRE,sector_observation_etf,industry_chain,1d,SPDR S&P Regional Banking ETF,State Street / SPDR,Regional bank ETF used to observe regional-bank stress or leadership.
MOO,sector_observation_etf,industry_chain,1d,VanEck Agribusiness ETF,VanEck,Agribusiness ETF used to observe agriculture supply-chain equities.
SMH,sector_observation_etf,industry_chain,1d,VanEck Semiconductor ETF,VanEck,Semiconductor ETF used to observe semiconductor leadership.
SOXX,sector_observation_etf,industry_chain,1d,iShares Semiconductor ETF,BlackRock / iShares,Semiconductor ETF used to observe large-cap semiconductor leadership.
VGT,sector_observation_etf,industry_chain,1d,Vanguard Information Technology ETF,Vanguard,Information technology ETF used to observe broad tech sector leadership.
XBI,sector_observation_etf,thematic_growth,1d,SPDR S&P Biotech ETF,State Street / SPDR,Biotech ETF used to observe high-beta biotech risk appetite.
XLB,sector_observation_etf,sp500_sector,30m,Materials Select Sector SPDR Fund,State Street / SPDR,Materials sector ETF used to observe materials leadership.
XLC,sector_observation_etf,sp500_sector,30m,Communication Services Select Sector SPDR Fund,State Street / SPDR,Communication services sector ETF used to observe communication/platform leadership.
XLE,sector_observation_etf,sp500_sector,30m,Energy Select Sector SPDR Fund,State Street / SPDR,Energy sector ETF used to observe energy and inflation sensitivity.
XLF,sector_observation_etf,sp500_sector,30m,Financial Select Sector SPDR Fund,State Street / SPDR,Financials sector ETF used to observe rates and credit sensitivity.
XLI,sector_observation_etf,sp500_sector,30m,Industrial Select Sector SPDR Fund,State Street / SPDR,Industrials sector ETF used to observe industrial cyclicality.
