event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2016-02-01T08:30:00-05:00,United States,Personal Income (MoM),personal income,DEC,0.3%,0.3%,0.2%,0.2%,,3,
2016-02-01T08:30:00-05:00,United States,Personal Spending MoM,personal spending,DEC,0.0%,0.5%,0.1%,0.2%,®,3,
2016-02-05T08:30:00-05:00,United States,Balance of Trade,balance of trade,DEC,$-43.36B,$-42.23B,$-43B,,®,3,
2016-02-05T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,JAN,151K,262K,190K,210K,®,3,
2016-02-12T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,JAN,0.2%,0.2%,0.1%,0.40%,®,3,
2016-02-19T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,JAN,2.2%,2.1%,2.1%,2.1%,,3,
2016-02-19T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,JAN,1.4%,0.7%,1.3%,0.8%,,3,
2016-02-25T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,JAN,4.9%,-4.6%,2.9%,2.7%,®,3,
2016-02-26T10:00:00-05:00,United States,Personal Income (MoM),personal income,JAN,0.5%,0.3%,0.4%,0.4%,,3,
2016-02-26T10:00:00-05:00,United States,Personal Spending MoM,personal spending,JAN,0.5%,0.1%,0.3%,0.3%,®,3,
