event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2016-08-02T08:30:00-04:00,United States,Personal Income (MoM),personal income,JUN,0.2%,0.2%,0.3%,0.2%,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-08-01&end=2016-09-01
2016-08-02T08:30:00-04:00,United States,Personal Spending MoM,personal spending,JUN,0.4%,0.4%,0.3%,0.3%,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-08-01&end=2016-09-01
2016-08-05T08:30:00-04:00,United States,Balance of Trade,balance of trade,JUN,$-44.51B,$-40.96B,$-43.1B,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-08-01&end=2016-09-01
2016-08-05T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,JUL,255K,292K,180K,190K,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-08-01&end=2016-09-01
2016-08-12T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,JUL,0%,0.8%,0.4%,0.2%,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-08-01&end=2016-09-01
2016-08-16T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,JUL,2.2%,2.3%,2.3%,2%,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-08-01&end=2016-09-01
2016-08-16T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,JUL,0.8%,1%,0.9%,1%,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-08-01&end=2016-09-01
2016-08-25T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,JUL,4.4%,-4.2%,3.3%,3.1%,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-08-01&end=2016-09-01
2016-08-29T08:30:00-04:00,United States,Personal Income (MoM),personal income,JUL,0.4%,0.3%,0.4%,0.2%,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-08-01&end=2016-09-01
2016-08-29T08:30:00-04:00,United States,Personal Spending MoM,personal spending,JUL,0.3%,0.5%,0.3%,0.3%,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-08-01&end=2016-09-01
