event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2017-03-01T08:30:00-05:00,United States,Personal Income (MoM),personal income,JAN,0.4%,0.3%,0.3%,0.3%,,3,
2017-03-01T08:30:00-05:00,United States,Personal Spending MoM,personal spending,JAN,0.2%,0.5%,0.3%,0.2%,,3,
2017-03-07T08:30:00-05:00,United States,Balance of Trade,balance of trade,JAN,$-48.5B,$-44.3B,$-48.5B,$ -46B,,3,
2017-03-10T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,FEB,235K,238K,190K,180K,®,3,
2017-03-15T07:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,FEB,2.2%,2.3%,2.2%,2.3%,,3,
2017-03-15T07:30:00-04:00,United States,Inflation Rate YoY,inflation rate,FEB,2.7%,2.5%,2.7%,2.5%,,3,
2017-03-15T07:30:00-04:00,United States,Retail Sales MoM,retail sales mom,FEB,0.1%,0.6%,0.1%,0.3%,®,3,
2017-03-24T07:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,FEB,1.7%,2.3%,1.2%,0.9%,®,3,
2017-03-31T07:30:00-04:00,United States,Personal Income (MoM),personal income,FEB,0.4%,0.5%,0.4%,0.3%,®,3,
2017-03-31T07:30:00-04:00,United States,Personal Spending MoM,personal spending,FEB,0.1%,0.2%,0.2%,0.3%,,3,
