event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2017-08-01T08:30:00-04:00,United States,Personal Income MoM,personal income,JUN,0%,0.3%,0.4%,0.3%,®,3,
2017-08-01T08:30:00-04:00,United States,Personal Spending MoM,personal spending,JUN,0.1%,0.2%,0.1%,0.2%,®,3,
2017-08-04T08:30:00-04:00,United States,Balance of Trade,balance of trade,JUN,$-43.6B,$-46.4B,$-45B,$ -46B,®,3,
2017-08-04T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,JUL,209K,231K,183K,183K,®,3,
2017-08-11T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,JUL,1.7%,1.7%,1.7%,1.7%,,3,
2017-08-11T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,JUL,1.7%,1.6%,1.8%,1.7%,,3,
2017-08-15T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,JUL,0.6%,0.3%,0.4%,0.3%,®,3,
2017-08-25T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,JUL,-6.8%,6.4%,-6%,-3.8%,®,3,
2017-08-31T08:30:00-04:00,United States,Personal Income MoM,personal income,JUL,0.4%,0%,0.3%,0.3%,,3,
2017-08-31T08:30:00-04:00,United States,Personal Spending MoM,personal spending,JUL,0.3%,0.2%,0.4%,0.3%,®,3,
