event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2018-10-01T09:00:00-04:00,United States,Fed Bostic Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-01T09:45:00-04:00,United States,Markit Manufacturing PMI Final,manufacturing pmi,SEP,55.6,54.7,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-01T10:00:00-04:00,United States,Construction Spending MoM,construction spending,AUG,0.1%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-01T10:00:00-04:00,United States,ISM Manufacturing Employment,ism manufacturing employment,SEP,58.8,58.5,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-01T10:00:00-04:00,United States,ISM Manufacturing New Orders,ism manufacturing new orders,SEP,61.8,65.1,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,SEP,59.8,61.3,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-01T10:00:00-04:00,United States,ISM Manufacturing Prices,ism manufacturing prices,SEP,66.9,72.1,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-01T11:30:00-04:00,United States,3-Month Bill Auction,3 month bill yield,,2.175%,2.180%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-01T11:30:00-04:00,United States,6-Month Bill Auction,6 month bill yield,,2.335%,2.320%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-01T12:45:00-04:00,United States,Fed Rosengren Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-02T08:55:00-04:00,United States,Redbook MoM,redbook index,SEP/29,0.3%,0.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-02T08:55:00-04:00,United States,Redbook YoY,redbook index,SEP/29,5.7%,5.8%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-02T09:45:00-04:00,United States,ISM New York Index,ism new york index,SEP,72.5,76.5,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-02T10:00:00-04:00,United States,Fed Quarles Testimony,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-02T11:30:00-04:00,United States,4-Week Bill Auction,4 week bill yield,,2.105%,2.080%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-02T12:45:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-02T16:29:00-04:00,United States,API Crude Oil Stock Change,api crude oil stock change,SEP/28,0.907M,2.903M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-02T16:30:00-04:00,United States,Total Vehicle Sales,total vehicle sales,SEP,17.44M,16.72M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T06:30:00-04:00,United States,Fed Evans Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T07:00:00-04:00,United States,MBA 30-Year Mortgage Rate,mortgage rate,SEP/28,4.96%,4.97%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T07:00:00-04:00,United States,MBA Mortgage Applications,mortgage applications,SEP/28,0%,2.9%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T08:05:00-04:00,United States,Fed Barkin Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
