event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2019-03-01T08:30:00-05:00,United States,Personal Income MoM,personal income,DEC,1%,0.3%,,,®,3,
2019-03-01T08:30:00-05:00,United States,Personal Income MoM,personal income,JAN,-0.1%,1%,,,,3,
2019-03-01T08:30:00-05:00,United States,Personal Spending MoM,personal spending,DEC,-0.5%,0.6%,,,®,3,
2019-03-06T08:30:00-05:00,United States,Balance of Trade,balance of trade,DEC,$-59.8B,$-50.3B,,,®,3,
2019-03-08T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,FEB,20K,311K,,,®,3,
2019-03-11T07:30:00-04:00,United States,Retail Sales MoM,retail sales mom,JAN,0.2%,-1.6%,,,®,3,
2019-03-12T07:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,FEB,2.1%,2.2%,,,,3,
2019-03-12T07:30:00-04:00,United States,Inflation Rate YoY,inflation rate,FEB,1.5%,1.6%,,,,3,
2019-03-13T07:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,JAN,0.4%,1.3%,,,®,3,
2019-03-27T07:30:00-04:00,United States,Balance of Trade,balance of trade,JAN,$-51.1B,$-59.9B,,,®,3,
2019-03-29T07:30:00-04:00,United States,Personal Income MoM,personal income,FEB,0.2%,-0.1%,,,,3,
2019-03-29T07:30:00-04:00,United States,Personal Spending MoM,personal spending,JAN,0.1%,-0.6%,,,®,3,
