event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2019-04-01T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,FEB,-0.2%,0.7%,,,®,3,
2019-04-02T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,FEB,-1.6%,0.1%,,,®,3,
2019-04-05T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAR,196K,33K,,,®,3,
2019-04-10T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAR,2%,2.1%,,,,3,
2019-04-10T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAR,1.9%,1.5%,,,,3,
2019-04-17T08:30:00-04:00,United States,Balance of Trade,balance of trade,FEB,$-49.4B,$-51.1B,,,,3,
2019-04-18T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAR,1.6%,-0.2%,,,,3,
2019-04-25T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAR,2.7%,-1.1%,,,®,3,
2019-04-29T08:30:00-04:00,United States,Personal Income MoM,personal income,MAR,0.1%,0.2%,,,,3,
2019-04-29T08:30:00-04:00,United States,Personal Spending MoM,personal spending,FEB,0.1%,0.3%,,,®,3,
2019-04-29T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAR,0.9%,0.1%,,,,3,
