event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2022-01-04T10:00:00-05:00,United States,ISM Manufacturing PMI,business confidence,DEC,58.7,61.1,60,60.2,,3,
2022-01-04T10:00:00-05:00,United States,JOLTs Job Openings,job offers,NOV,10.562M,11.033M,11.075M,10.8M,®,3,
2022-01-05T14:00:00-05:00,United States,FOMC Minutes,interest rate,,,,,,,3,
2022-01-06T08:30:00-05:00,United States,Balance of Trade,balance of trade,NOV,$-80.2B,$-67.2B,$-77.1B,$-81.8B,®,3,
2022-01-06T10:00:00-05:00,United States,ISM Non-Manufacturing PMI,non manufacturing pmi,DEC,62,69.1,66.9,67.5,,3,
2022-01-07T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,DEC,199K,249K,400K,425K,®,3,
2022-01-11T10:00:00-05:00,United States,Fed Chair Powell Testimony,interest rate,,,,,,,3,
2022-01-12T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,DEC,5.5%,4.9%,5.4%,5.4%,,3,
2022-01-12T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,DEC,7%,6.8%,7%,7.1%,,3,
2022-01-14T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,DEC,-1.9%,0.2%,0%,0.3%,®,3,
2022-01-14T10:00:00-05:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,JAN,68.8,70.6,70,70.4,,3,
2022-01-19T08:30:00-05:00,United States,Building Permits,building permits,DEC,1.873M,1.717M,1.701M,1.72M,®,3,
2022-01-24T09:45:00-05:00,United States,Markit Composite PMI Flash,composite pmi,JAN,50.8,57,,56.7,,3,
2022-01-26T14:30:00-05:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2022-01-27T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,DEC,-0.9%,3.2%,-0.5%,-0.2%,®,3,
2022-01-28T08:30:00-05:00,United States,Personal Income MoM,personal income,DEC,0.3%,0.5%,0.5%,0.5%,®,3,
2022-01-28T08:30:00-05:00,United States,Personal Spending MoM,personal spending,DEC,-0.6%,0.4%,-0.6%,-0.3%,®,3,
