event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2022-04-01T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAR,431K,750K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,MAR,57.1,58.6,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-05T08:30:00-04:00,United States,Balance of Trade,balance of trade,FEB,$-89.2B,$-89.2B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-05T10:00:00-04:00,United States,ISM Non-Manufacturing PMI,non manufacturing pmi,MAR,58.3,56.5,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-06T14:00:00-04:00,United States,FOMC Minutes,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-12T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAR,6.5%,6.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-12T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAR,8.5%,7.9%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-13T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,MAR,1.4%,0.9%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-14T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAR,0.5%,0.8%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-14T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,APR,65.7,59.4,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-19T08:30:00-04:00,United States,Building Permits,building permits,MAR,1.873M,1.865M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-26T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAR,0.8%,-1.7%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-29T08:30:00-04:00,United States,Personal Income MoM,personal income,MAR,0.5%,0.7%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
2022-04-29T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAR,1.1%,0.6%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-04-01&end=2022-05-01
