event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2022-09-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,AUG,52.8,52.8,,,,3,
2022-09-02T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,AUG,315K,526K,,,®,3,
2022-09-06T10:00:00-04:00,United States,ISM Non-Manufacturing PMI,non manufacturing pmi,AUG,56.9,56.7,,,,3,
2022-09-07T08:30:00-04:00,United States,Balance of Trade,balance of trade,JUL,$-70.7B,$-80.9B,,,®,3,
2022-09-13T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,AUG,6.3%,5.9%,,,,3,
2022-09-13T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,AUG,8.3%,8.5%,,,,3,
2022-09-14T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,AUG,-0.1%,-0.4%,,,®,3,
2022-09-15T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,AUG,0.3%,-0.4%,,,®,3,
2022-09-16T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,SEP,59.5,58.2,,,,3,
2022-09-20T08:30:00-04:00,United States,Building Permits,building permits,AUG,1.517M,1.685M,,,,3,
2022-09-21T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2022-09-27T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,AUG,-0.2%,-0.1%,,,®,3,
2022-09-30T08:30:00-04:00,United States,Personal Income MoM,personal income,AUG,0.3%,0.3%,,,®,3,
2022-09-30T08:30:00-04:00,United States,Personal Spending MoM,personal spending,AUG,0.4%,-0.2%,,,®,3,
