event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2022-11-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,OCT,50.2,50.9,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-01T10:00:00-04:00,United States,JOLTs Job Openings,job offers,SEP,10.717M,10.28M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-02T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-03T08:30:00-04:00,United States,Balance of Trade,balance of trade,SEP,$-73.3B,$-65.7B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-03T10:00:00-04:00,United States,ISM Non-Manufacturing PMI,non manufacturing pmi,OCT,54.4,56.7,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-04T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,OCT,261K,315K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-10T09:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,OCT,6.3%,6.6%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-10T09:30:00-05:00,United States,Inflation Rate YoY,inflation rate,OCT,7.7%,8.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-11T11:00:00-05:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,NOV,54.7,59.9,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-15T09:30:00-05:00,United States,PPI MoM,producer price inflation mom,OCT,0.2%,0.2%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-16T09:30:00-05:00,United States,Retail Sales MoM,retail sales mom,OCT,1.3%,0%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-17T09:30:00-05:00,United States,Building Permits Prel,building permits,OCT,1.526M,1.564M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-23T09:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,OCT,1%,0.3%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-23T15:00:00-05:00,United States,FOMC Minutes,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-30T11:00:00-05:00,United States,JOLTs Job Openings,job offers,OCT,10.334M,10.687M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
2022-11-30T14:30:00-05:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-11-01&end=2022-12-01
