event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2022-12-01T08:30:00-05:00,United States,Personal Income MoM,personal income,OCT,0.7%,0.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-01T08:30:00-05:00,United States,Personal Spending MoM,personal spending,OCT,0.8%,0.6%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-01T10:00:00-05:00,United States,ISM Manufacturing PMI,business confidence,NOV,49,50.2,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-02T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,NOV,263K,284K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-05T10:00:00-05:00,United States,ISM Non-Manufacturing PMI,non manufacturing pmi,NOV,56.5,54.4,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-06T08:30:00-05:00,United States,Balance of Trade,balance of trade,OCT,$-78.2B,$-74.1B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-09T08:30:00-05:00,United States,PPI MoM,producer price inflation mom,NOV,0.3%,0.3%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-09T10:00:00-05:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,DEC,59.1,56.8,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-13T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,NOV,6%,6.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-13T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,NOV,7.1%,7.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-14T14:00:00-05:00,United States,Fed Interest Rate Decision,interest rate,,4.5%,4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-14T14:30:00-05:00,United States,Fed Press Conference,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-15T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,NOV,-0.6%,1.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-20T08:30:00-05:00,United States,Building Permits Prel,building permits,NOV,1.342M,1.512M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-23T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,NOV,-2.1%,0.7%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-23T08:30:00-05:00,United States,Personal Income MoM,personal income,NOV,0.4%,0.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
2022-12-23T08:30:00-05:00,United States,Personal Spending MoM,personal spending,NOV,0.1%,0.9%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2022-12-01&end=2023-01-01
