event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2023-04-03T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,MAR,46.3,47.7,,,,3,
2023-04-04T10:00:00-04:00,United States,JOLTs Job Openings,job offers,FEB,9.931M,10.563M,,,®,3,
2023-04-05T08:30:00-04:00,United States,Balance of Trade,balance of trade,FEB,$-70.5B,$-68.7B,,,®,3,
2023-04-05T10:00:00-04:00,United States,ISM Non-Manufacturing PMI,non manufacturing pmi,MAR,51.2,55.1,,,,3,
2023-04-07T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAR,236K,326K,,,®,3,
2023-04-07T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,MAR,3.5%,3.6%,,,,3,
2023-04-12T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAR,5.6%,5.5%,,,,3,
2023-04-12T08:30:00-04:00,United States,Inflation Rate MoM,inflation rate mom,MAR,0.1%,0.4%,,,,3,
2023-04-12T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAR,5%,6%,,,,3,
2023-04-12T14:00:00-04:00,United States,FOMC Minutes,interest rate,,,,,,,3,
2023-04-13T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,MAR,-0.5%,0%,,,®,3,
2023-04-14T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAR,-1%,-0.2%,,,®,3,
2023-04-14T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,APR,63.5,62,,,,3,
2023-04-18T08:30:00-04:00,United States,Building Permits Prel,building permits,MAR,1.413M,1.55M,,,,3,
2023-04-26T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAR,3.2%,-1.2%,,,®,3,
2023-04-27T08:30:00-04:00,United States,GDP Growth Rate QoQ Adv,gdp growth rate,Q1,1.1%,2.6%,,,,3,
2023-04-28T08:30:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,MAR,0.3%,0.3%,,,,3,
2023-04-28T08:30:00-04:00,United States,Personal Income MoM,personal income,MAR,0.3%,0.3%,,,,3,
2023-04-28T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAR,0%,0.1%,,,®,3,
