event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2023-06-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,MAY,46.9,47.1,,,,3,
2023-06-02T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAY,339K,294K,,,®,3,
2023-06-02T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,MAY,3.7%,3.4%,,,,3,
2023-06-05T10:00:00-04:00,United States,ISM Services PMI,non manufacturing pmi,MAY,50.3,51.9,,,,3,
2023-06-07T08:30:00-04:00,United States,Balance of Trade,balance of trade,APR,$-74.6B,$-60.6B,,,®,3,
2023-06-13T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAY,5.3%,5.5%,,,,3,
2023-06-13T08:30:00-04:00,United States,Inflation Rate MoM,inflation rate mom,MAY,0.1%,0.4%,,,,3,
2023-06-13T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAY,4%,4.9%,,,,3,
2023-06-14T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,MAY,-0.3%,0.2%,,,,3,
2023-06-14T14:00:00-04:00,United States,Fed Interest Rate Decision,interest rate,,5.25%,5.25%,,,,3,
2023-06-14T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2023-06-15T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAY,0.3%,0.4%,,,,3,
2023-06-16T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,JUN,63.9,59.2,,,,3,
2023-06-20T08:30:00-04:00,United States,Building Permits Prel,building permits,MAY,1.491M,1.417M,,,,3,
2023-06-21T10:00:00-04:00,United States,Fed Chair Powell Testimony,interest rate,,,,,,,3,
2023-06-22T10:00:00-04:00,United States,Fed Chair Powell Testimony,interest rate,,,,,,,3,
2023-06-27T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAY,1.7%,1.2%,,,®,3,
2023-06-28T09:30:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,
2023-06-29T02:30:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,
2023-06-30T08:30:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,MAY,0.3%,0.4%,,,,3,
2023-06-30T08:30:00-04:00,United States,Personal Income MoM,personal income,MAY,0.4%,0.3%,,,®,3,
2023-06-30T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAY,0.1%,0.6%,,,®,3,
