event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2023-09-01T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,AUG,187K,157K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-01T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,AUG,3.8%,3.5%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,AUG,47.6,46.4,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-06T10:00:00-04:00,United States,ISM Services PMI,non manufacturing pmi,AUG,54.5,52.7,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-13T08:30:00-04:00,United States,Core Inflation Rate MoM,core inflation rate mom,AUG,0.3%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-13T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,AUG,4.3%,4.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-13T08:30:00-04:00,United States,Inflation Rate MoM,inflation rate mom,AUG,0.6%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-13T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,AUG,3.7%,3.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-14T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,AUG,0.7%,0.4%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-14T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,AUG,0.6%,0.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-15T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,SEP,67.7,69.5,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-19T08:30:00-04:00,United States,Building Permits Prel,building permits,AUG,1.543M,1.443M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-20T14:00:00-04:00,United States,Fed Interest Rate Decision,interest rate,,5.5%,5.5%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-20T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-27T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,AUG,0.2%,-5.6%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-28T08:30:00-04:00,United States,GDP Growth Rate QoQ Final,gdp growth rate,Q2,2.1%,2.2%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-29T08:30:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,AUG,0.1%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-29T08:30:00-04:00,United States,Personal Income MoM,personal income,AUG,0.4%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
2023-09-29T08:30:00-04:00,United States,Personal Spending MoM,personal spending,AUG,0.4%,0.9%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-09-01&end=2023-10-01
