event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2023-11-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,OCT,46.7,49,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-01T10:00:00-04:00,United States,JOLTs Job Openings,job offers,SEP,9.553M,9.497M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-01T14:00:00-04:00,United States,Fed Interest Rate Decision,interest rate,,5.5%,5.5%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-01T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-03T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,OCT,150K,297K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-03T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,OCT,3.9%,3.8%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-03T10:00:00-04:00,United States,ISM Services PMI,non manufacturing pmi,OCT,51.8,53.6,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-08T10:15:00-05:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-09T15:00:00-05:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-10T11:00:00-05:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,NOV,60.4,63.8,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-14T09:30:00-05:00,United States,Core Inflation Rate MoM,core inflation rate mom,OCT,0.2%,0.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-14T09:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,OCT,4%,4.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-14T09:30:00-05:00,United States,Inflation Rate MoM,inflation rate mom,OCT,0%,0.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-14T09:30:00-05:00,United States,Inflation Rate YoY,inflation rate,OCT,3.2%,3.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-15T09:30:00-05:00,United States,PPI MoM,producer price inflation mom,OCT,-0.5%,0.4%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-15T09:30:00-05:00,United States,Retail Sales MoM,retail sales mom,OCT,-0.1%,0.9%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-17T09:30:00-05:00,United States,Building Permits Prel,building permits,OCT,1.487M,1.471M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-21T15:00:00-05:00,United States,FOMC Minutes,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-22T09:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,OCT,-5.4%,4%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-29T09:30:00-05:00,United States,GDP Growth Rate QoQ 2nd Est,gdp growth rate,Q3,5.2%,2.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-30T09:30:00-05:00,United States,Core PCE Price Index MoM,core pce price index mom,OCT,0.2%,0.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-30T09:30:00-05:00,United States,Personal Income MoM,personal income,OCT,0.2%,0.4%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
2023-11-30T09:30:00-05:00,United States,Personal Spending MoM,personal spending,OCT,0.2%,0.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2023-11-01&end=2023-12-01
