event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2024-03-01T10:00:00-05:00,United States,ISM Manufacturing PMI,business confidence,FEB,47.8,49.1,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-05T10:00:00-05:00,United States,ISM Services PMI,non manufacturing pmi,FEB,52.6,53.4,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-06T10:00:00-05:00,United States,Fed Chair Powell Testimony,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-06T10:00:00-05:00,United States,JOLTs Job Openings,job offers,JAN,8.863M,8.889M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-07T10:00:00-05:00,United States,Fed Chair Powell Testimony,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-08T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,FEB,275K,229K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-08T08:30:00-05:00,United States,Unemployment Rate,unemployment rate,FEB,3.9%,3.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-12T07:30:00-04:00,United States,Core Inflation Rate MoM,core inflation rate mom,FEB,0.4%,0.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-12T07:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,FEB,3.8%,3.9%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-12T07:30:00-04:00,United States,Inflation Rate MoM,inflation rate mom,FEB,0.4%,0.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-12T07:30:00-04:00,United States,Inflation Rate YoY,inflation rate,FEB,3.2%,3.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-14T07:30:00-04:00,United States,PPI MoM,producer price inflation mom,FEB,0.6%,0.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-14T07:30:00-04:00,United States,Retail Sales MoM,retail sales mom,FEB,0.6%,-1.1%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-15T09:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,MAR,76.5,76.9,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-19T07:30:00-04:00,United States,Building Permits Prel,building permits,FEB,1.518M,1.489M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-20T13:00:00-04:00,United States,Fed Interest Rate Decision,interest rate,,5.5%,5.5%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-20T13:00:00-04:00,United States,FOMC Economic Projections,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-20T13:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-26T07:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,FEB,1.4%,-6.9%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-28T07:30:00-04:00,United States,GDP Growth Rate QoQ Final,gdp growth rate,Q4,3.4%,4.9%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-29T07:30:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,FEB,0.3%,0.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-29T07:30:00-04:00,United States,Personal Income MoM,personal income,FEB,0.3%,1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-29T07:30:00-04:00,United States,Personal Spending MoM,personal spending,FEB,0.8%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
2024-03-29T10:30:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-03-01&end=2024-04-01
