event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2024-07-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,JUN,48.5,48.7,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-02T09:30:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-02T10:00:00-04:00,United States,JOLTs Job Openings,job offers,MAY,8.14M,7.919M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-03T10:00:00-04:00,United States,ISM Services PMI,non manufacturing pmi,JUN,48.8,53.8,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-03T14:00:00-04:00,United States,FOMC Minutes,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-05T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,JUN,206K,218K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-05T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,JUN,4.1%,4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-09T10:00:00-04:00,United States,Fed Chair Powell Testimony,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-10T10:00:00-04:00,United States,Fed Chair Powell Testimony,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-11T08:30:00-04:00,United States,Core Inflation Rate MoM,core inflation rate mom,JUN,0.1%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-11T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,JUN,3.3%,3.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-11T08:30:00-04:00,United States,Inflation Rate MoM,inflation rate mom,JUN,-0.1%,0%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-11T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,JUN,3%,3.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-12T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,JUN,0.2%,0%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-12T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,JUL,66.0,68.2,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-15T12:30:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-16T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,JUN,0%,0.3%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-17T08:30:00-04:00,United States,Building Permits Prel,building permits,JUN,1.446M,1.399M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-25T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,JUN,-6.6%,0.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-25T08:30:00-04:00,United States,GDP Growth Rate QoQ Adv,gdp growth rate,Q2,2.8%,1.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-26T08:30:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,JUN,0.2%,0.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-26T08:30:00-04:00,United States,Personal Income MoM,personal income,JUN,0.2%,0.4%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-26T08:30:00-04:00,United States,Personal Spending MoM,personal spending,JUN,0.3%,0.4%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-30T10:00:00-04:00,United States,JOLTs Job Openings,job offers,JUN,8.184M,8.23M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-31T14:00:00-04:00,United States,Fed Interest Rate Decision,interest rate,,5.5%,5.5%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
2024-07-31T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-07-01&end=2024-08-01
