event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2024-10-01T05:30:00-04:00,United States,LMI Logistics Managers Index,lmi logistics managers index,SEP,58.6,56.4,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
2024-10-01T08:55:00-04:00,United States,Redbook YoY,redbook index,SEP/28,5.3%,4.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
2024-10-01T09:45:00-04:00,United States,S&P Global Manufacturing PMI Final,manufacturing pmi,SEP,47.3,47.9,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
2024-10-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,SEP,47.2,47.2,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
2024-10-01T10:00:00-04:00,United States,JOLTs Job Openings,job offers,AUG,8.04M,7.711M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
2024-10-01T10:00:00-04:00,United States,ISM Manufacturing Employment,ism manufacturing employment,SEP,43.9,46.0,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
2024-10-01T10:00:00-04:00,United States,Construction Spending MoM,construction spending,AUG,-0.1%,-0.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
2024-10-01T10:00:00-04:00,United States,ISM Manufacturing New Orders,ism manufacturing new orders,SEP,46.1,44.6,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
2024-10-01T10:00:00-04:00,United States,ISM Manufacturing Prices,ism manufacturing prices,SEP,48.3,54.0,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
2024-10-01T10:00:00-04:00,United States,JOLTs Job Quits,job quits,AUG,3.084M,3.243M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
2024-10-01T10:30:00-04:00,United States,Dallas Fed Services Index,dallas fed services index,SEP,-2.6,-7.7,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
2024-10-01T10:30:00-04:00,United States,Dallas Fed Services Revenues Index,dallas fed services revenues index,SEP,10.1,8.7,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-10-01&end=2024-11-01
