event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2024-12-02T10:00:00-05:00,United States,ISM Manufacturing PMI,business confidence,NOV,48.4,46.5,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-03T10:00:00-05:00,United States,JOLTs Job Openings,job offers,OCT,7.744M,7.372M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-04T10:00:00-05:00,United States,ISM Services PMI,non manufacturing pmi,NOV,52.1,56,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-04T13:40:00-05:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-06T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,NOV,227K,36K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-06T08:30:00-05:00,United States,Unemployment Rate,unemployment rate,NOV,4.2%,4.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-06T10:00:00-05:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,DEC,74.0,71.8,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-11T08:30:00-05:00,United States,Core Inflation Rate MoM,core inflation rate mom,NOV,0.3%,0.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-11T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,NOV,3.3%,3.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-11T08:30:00-05:00,United States,Inflation Rate MoM,inflation rate mom,NOV,0.3%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-11T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,NOV,2.7%,2.6%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-12T08:30:00-05:00,United States,PPI MoM,producer price inflation mom,NOV,0.4%,0.3%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-17T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,NOV,0.7%,0.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-18T08:30:00-05:00,United States,Building Permits Prel,building permits,NOV,1.505M,1.419M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-18T14:00:00-05:00,United States,Fed Interest Rate Decision,interest rate,,4.5%,4.75%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-18T14:00:00-05:00,United States,FOMC Economic Projections,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-18T14:30:00-05:00,United States,Fed Press Conference,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-19T08:30:00-05:00,United States,GDP Growth Rate QoQ Final,gdp growth rate,Q3,3.1%,3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-20T08:30:00-05:00,United States,Core PCE Price Index MoM,core pce price index mom,NOV,0.1%,0.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-20T08:30:00-05:00,United States,Personal Income MoM,personal income,NOV,0.3%,0.7%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-20T08:30:00-05:00,United States,Personal Spending MoM,personal spending,NOV,0.4%,0.3%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
2024-12-23T09:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,NOV,-1.1%,0.8%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2024-12-01&end=2025-01-01
