event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2025-04-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,MAR,49,50.3,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-01T10:00:00-04:00,United States,JOLTs Job Openings,job offers,FEB,7.568M,7.762M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-03T10:00:00-04:00,United States,ISM Services PMI,non manufacturing pmi,MAR,50.8,53.5,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-04T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAR,228K,117K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-04T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,MAR,4.2%,4.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-04T11:25:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-09T14:00:00-04:00,United States,FOMC Minutes,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-10T08:30:00-04:00,United States,Core Inflation Rate MoM,core inflation rate mom,MAR,0.1%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-10T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAR,2.8%,3.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-10T08:30:00-04:00,United States,Inflation Rate MoM,inflation rate mom,MAR,-0.1%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-10T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAR,2.4%,2.8%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-11T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,MAR,-0.4%,0.1%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-11T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,APR,50.8,57.0,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-16T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAR,1.4%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-16T13:30:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-17T08:30:00-04:00,United States,Building Permits Prel,building permits,MAR,1.482M,1.459M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-17T08:30:00-04:00,United States,Housing Starts,housing starts,MAR,1.324M,1.494M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-24T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAR,9.2%,0.9%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-24T10:00:00-04:00,United States,Existing Home Sales,existing home sales,MAR,4.02M,4.27M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-29T10:00:00-04:00,United States,JOLTs Job Openings,job offers,MAR,7.192M,7.48M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-30T08:30:00-04:00,United States,GDP Growth Rate QoQ Adv,gdp growth rate,Q1,-0.3%,2.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-30T10:00:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,MAR,0.0%,0.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-30T10:00:00-04:00,United States,Personal Income MoM,personal income,MAR,0.5%,0.7%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
2025-04-30T10:00:00-04:00,United States,Personal Spending MoM,personal spending,MAR,0.7%,0.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2025-04-01&end=2025-05-01
