event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2025-06-02T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,MAY,48.5,48.7,,,,3,
2025-06-02T13:00:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,
2025-06-03T10:00:00-04:00,United States,JOLTs Job Openings,job offers,APR,7.391M,7.2M,,,®,3,
2025-06-04T10:00:00-04:00,United States,ISM Services PMI,non manufacturing pmi,MAY,49.9,51.6,,,,3,
2025-06-06T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAY,139K,147K,,,®,3,
2025-06-06T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,MAY,4.2%,4.2%,,,,3,
2025-06-11T08:30:00-04:00,United States,Core Inflation Rate MoM,core inflation rate mom,MAY,0.1%,0.2%,,,,3,
2025-06-11T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAY,2.8%,2.8%,,,,3,
2025-06-11T08:30:00-04:00,United States,Inflation Rate MoM,inflation rate mom,MAY,0.1%,0.2%,,,,3,
2025-06-11T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAY,2.4%,2.3%,,,,3,
2025-06-12T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,MAY,0.1%,-0.2%,,,®,3,
2025-06-13T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,JUN,60.5,52.2,,,,3,
2025-06-17T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAY,-0.9%,-0.1%,,,®,3,
2025-06-18T08:30:00-04:00,United States,Building Permits Prel,building permits,MAY,1.393M,1.422M,,,,3,
2025-06-18T08:30:00-04:00,United States,Housing Starts,housing starts,MAY,1.256M,1.392M,,,®,3,
2025-06-18T14:00:00-04:00,United States,Fed Interest Rate Decision,interest rate,,4.5%,4.5%,,,,3,
2025-06-18T14:00:00-04:00,United States,FOMC Economic Projections,interest rate,,,,,,,3,
2025-06-18T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2025-06-23T10:00:00-04:00,United States,Existing Home Sales,existing home sales,MAY,4.03M,4M,,,,3,
2025-06-24T10:00:00-04:00,United States,Fed Chair Powell Testimony,interest rate,,,,,,,3,
2025-06-25T10:00:00-04:00,United States,Fed Chair Powell Testimony,interest rate,,,,,,,3,
2025-06-26T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAY,16.4%,-6.6%,,,®,3,
2025-06-26T08:30:00-04:00,United States,GDP Growth Rate QoQ Final,gdp growth rate,Q1,-0.5%,2.4%,,,,3,
2025-06-27T08:30:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,MAY,0.2%,0.1%,,,,3,
2025-06-27T08:30:00-04:00,United States,Personal Income MoM,personal income,MAY,-0.4%,0.7%,,,®,3,
2025-06-27T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAY,-0.1%,0.2%,,,,3,
