event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2025-11-03T11:00:00-05:00,United States,ISM Manufacturing PMI,business confidence,OCT,48.7,49.1,,,,3,
2025-11-05T11:00:00-05:00,United States,ISM Services PMI,non manufacturing pmi,OCT,52.4,50.0,,,,3,
2025-11-07T09:30:00-05:00,United States,Unemployment Rate,unemployment rate,OCT,,,,,,3,
2025-11-07T11:00:00-05:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,NOV,50.3,53.6,,,,3,
2025-11-13T09:30:00-05:00,United States,Core Inflation Rate MoM,core inflation rate mom,OCT,,0.2%,,,,3,
2025-11-13T09:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,OCT,,3%,,,,3,
2025-11-13T09:30:00-05:00,United States,Inflation Rate MoM,inflation rate mom,OCT,,0.3%,,,,3,
2025-11-13T09:30:00-05:00,United States,Inflation Rate YoY,inflation rate,OCT,,3%,,,,3,
2025-11-19T15:00:00-05:00,United States,FOMC Minutes,interest rate,,,,,,,3,
2025-11-20T09:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,SEP,119K,-4K,,,®,3,
2025-11-20T09:30:00-05:00,United States,Unemployment Rate,unemployment rate,SEP,4.4%,4.3%,,,,3,
2025-11-20T11:00:00-05:00,United States,Existing Home Sales,existing home sales,OCT,4.1M,4.05M,,,®,3,
2025-11-25T09:30:00-05:00,United States,PPI MoM,producer price inflation mom,SEP,0.3%,-0.1%,,,,3,
2025-11-25T09:30:00-05:00,United States,Retail Sales MoM,retail sales mom,SEP,0.2%,0.6%,,,,3,
2025-11-26T09:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,SEP,0.5%,3%,,,®,3,
