event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2026-01-05T10:00:00-05:00,United States,ISM Manufacturing PMI,business confidence,DEC,47.9,48.2,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-07T10:00:00-05:00,United States,ISM Services PMI,non manufacturing pmi,DEC,54.4,52.6,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-07T10:00:00-05:00,United States,JOLTs Job Openings,job offers,NOV,7.146M,7.449M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-09T08:30:00-05:00,United States,Building Permits Prel,building permits,SEP,1.415M,1.330M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-09T08:30:00-05:00,United States,Building Permits Prel,building permits,OCT,1.412M,1.415M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-09T08:30:00-05:00,United States,Housing Starts,housing starts,SEP,1.306M,1.291M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-09T08:30:00-05:00,United States,Housing Starts,housing starts,OCT,1.246M,1.306M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-09T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,DEC,50K,56K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-09T08:30:00-05:00,United States,Unemployment Rate,unemployment rate,DEC,4.4%,4.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-09T10:00:00-05:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,JAN,54.0,52.9,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-13T08:30:00-05:00,United States,Core Inflation Rate MoM,core inflation rate mom,DEC,0.2%,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-13T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,DEC,2.6%,2.6%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-13T08:30:00-05:00,United States,Inflation Rate MoM,inflation rate mom,DEC,0.3%,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-13T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,DEC,2.7%,2.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-14T08:30:00-05:00,United States,PPI MoM,producer price inflation mom,OCT,0.1%,0.6%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-14T08:30:00-05:00,United States,PPI MoM,producer price inflation mom,NOV,0.2%,0.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-14T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,NOV,0.6%,-0.1%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-14T10:00:00-05:00,United States,Existing Home Sales,existing home sales,DEC,4.35M,4.14M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-22T08:30:00-05:00,United States,GDP Growth Rate QoQ Final,gdp growth rate,Q3,4.4%,3.8%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-22T10:00:00-05:00,United States,Core PCE Price Index MoM,core pce price index mom,NOV,0.2%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-22T10:00:00-05:00,United States,Core PCE Price Index MoM,core pce price index mom,OCT,0.2%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-22T10:00:00-05:00,United States,Personal Income MoM,personal income,OCT,0.1%,0.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-22T10:00:00-05:00,United States,Personal Income MoM,personal income,NOV,0.3%,0.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
2026-01-22T10:00:00-05:00,United States,Personal Spending MoM,personal spending,NOV,0.5%,0.5%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2026-01-01&end=2026-02-01
